transaction_id,customer_id,merchant_id,amount,transaction_time,Day,is_fraudulent,card_type,Category Risk,Risk,location,purchase_category,purchase risk,customer_age,Age group,transaction_description,score
6149,1034,2072,9949.19,1/1/2023 1:42,1,1,Visa,Suspicious,100,City-45,Online Shopping,high,43,40-50,Purchase at Merchant-2072,Low Risk
7317,1006,2010,9949.07,1/1/2023 2:01,1,0,Visa,Suspicious,108,City-3,Travel,Low,18,0-20,Purchase at Merchant-2010,Low Risk
5850,1063,2014,9948.49,1/1/2023 1:37,1,1,American Express,Suspicious,111,City-44,Gas Station,high,59,50+,Purchase at Merchant-2014,High Risk
982,1098,2065,9947.2,1/1/2023 0:16,1,0,MasterCard,Suspicious,104,City-29,Groceries,Low,33,31-40,Purchase at Merchant-2065,Low Risk
3564,1051,2086,9946.89,1/1/2023 0:59,1,0,Discover,Suspicious,96,City-40,Restaurant,Low,37,31-40,Purchase at Merchant-2086,Low Risk
528,1030,2055,9946.44,1/1/2023 0:08,1,1,American Express,Suspicious,87,City-5,Retail,high,54,50+,Purchase at Merchant-2055,Low Risk
3915,1077,2084,9945.91,1/1/2023 1:05,1,1,Visa,Suspicious,100,City-29,Gas Station,high,62,50+,Purchase at Merchant-2084,Low Risk
3084,1094,2006,9945.73,1/1/2023 0:51,1,1,Discover,Suspicious,102,City-10,Travel,high,19,0-20,Purchase at Merchant-2006,High Risk
2609,1012,2015,9944.79,1/1/2023 0:43,1,1,Discover,Suspicious,114,City-26,Travel,high,28,21-30,Purchase at Merchant-2015,High Risk
8395,1075,2052,9944.67,1/1/2023 2:19,1,0,Visa,Suspicious,91,City-30,Travel,Low,46,40-50,Purchase at Merchant-2052,Low Risk
3769,1063,2024,9943.36,1/1/2023 1:02,1,1,American Express,Suspicious,111,City-4,Travel,high,25,21-30,Purchase at Merchant-2024,High Risk
8621,1008,2034,9943.11,1/1/2023 2:23,1,0,Visa,Suspicious,91,City-34,Restaurant,Low,55,50+,Purchase at Merchant-2034,Low Risk
3476,1099,2066,9942.27,1/1/2023 0:57,1,1,American Express,Suspicious,116,City-6,Gas Station,high,60,50+,Purchase at Merchant-2066,High Risk
8474,1053,2038,9942.01,1/1/2023 2:21,1,1,Visa,Suspicious,101,City-47,Travel,high,51,50+,Purchase at Merchant-2038,High Risk
2595,1042,2084,9941.98,1/1/2023 0:43,1,1,Discover,Suspicious,106,City-13,Retail,high,33,31-40,Purchase at Merchant-2084,High Risk
786,1011,2046,9941.96,1/1/2023 0:13,1,0,Discover,Suspicious,100,City-42,Travel,Low,53,50+,Purchase at Merchant-2046,Low Risk
6640,1074,2094,9940.7,1/1/2023 1:50,1,0,Visa,Suspicious,126,City-41,Travel,Low,37,31-40,Purchase at Merchant-2094,Low Risk
9879,1005,2071,9939.82,1/1/2023 2:44,1,1,Discover,Suspicious,92,City-33,Restaurant,high,63,50+,Purchase at Merchant-2071,Low Risk
7968,1069,2078,9938.9,1/1/2023 2:12,1,0,Visa,Suspicious,109,City-18,Gas Station,Low,50,40-50,Purchase at Merchant-2078,Low Risk
8682,1029,2068,9938.26,1/1/2023 2:24,1,1,Discover,Suspicious,106,City-4,Online Shopping,high,19,0-20,Purchase at Merchant-2068,High Risk
4082,1045,2051,9936.92,1/1/2023 1:08,1,0,MasterCard,Suspicious,96,City-35,Groceries,Low,59,50+,Purchase at Merchant-2051,Low Risk
7240,1003,2022,9936.55,1/1/2023 2:00,1,1,Visa,Suspicious,81,City-26,Travel,high,18,0-20,Purchase at Merchant-2022,Low Risk
9087,1035,2030,9934.36,1/1/2023 2:31,1,0,Visa,Suspicious,92,City-1,Online Shopping,Low,32,31-40,Purchase at Merchant-2030,Low Risk
6874,1049,2066,9934.28,1/1/2023 1:54,1,1,MasterCard,Suspicious,111,City-42,Gas Station,high,57,50+,Purchase at Merchant-2066,High Risk
3666,1013,2001,9933.8,1/1/2023 1:01,1,1,MasterCard,Suspicious,99,City-21,Retail,high,35,31-40,Purchase at Merchant-2001,Low Risk
6567,1001,2006,9933.74,1/1/2023 1:49,1,0,American Express,Suspicious,86,City-50,Online Shopping,Low,42,40-50,Purchase at Merchant-2006,Low Risk
8258,1074,2016,9933.33,1/1/2023 2:17,1,1,MasterCard,Suspicious,126,City-16,Online Shopping,high,30,21-30,Purchase at Merchant-2016,High Risk
2029,1043,2022,9931.33,1/1/2023 0:33,1,0,Discover,Suspicious,96,City-2,Gas Station,Low,31,31-40,Purchase at Merchant-2022,Low Risk
3341,1069,2038,9930.58,1/1/2023 0:55,1,0,Visa,Suspicious,109,City-21,Online Shopping,Low,64,50+,Purchase at Merchant-2038,Low Risk
192,1082,2074,9929.87,1/1/2023 0:03,1,1,American Express,Suspicious,111,City-48,Groceries,high,22,21-30,Purchase at Merchant-2074,High Risk
5671,1075,2064,9929.5,1/1/2023 1:34,1,1,American Express,Suspicious,91,City-21,Restaurant,high,27,21-30,Purchase at Merchant-2064,Low Risk
4940,1018,2063,9929.1,1/1/2023 1:22,1,1,Visa,Suspicious,116,City-8,Gas Station,high,51,50+,Purchase at Merchant-2063,High Risk
8768,1019,2057,9929.02,1/1/2023 2:26,1,1,MasterCard,Suspicious,97,City-24,Groceries,high,62,50+,Purchase at Merchant-2057,Low Risk
6506,1004,2006,9928.17,1/1/2023 1:48,1,0,MasterCard,Suspicious,87,City-12,Online Shopping,Low,59,50+,Purchase at Merchant-2006,Low Risk
9366,1021,2074,9926.73,1/1/2023 2:36,1,0,MasterCard,Suspicious,96,City-40,Gas Station,Low,29,21-30,Purchase at Merchant-2074,Low Risk
9713,1026,2024,9926.27,1/1/2023 2:41,1,0,Visa,Suspicious,92,City-39,Online Shopping,Low,34,31-40,Purchase at Merchant-2024,Low Risk
6759,1031,2084,9924.98,1/1/2023 1:52,1,1,Visa,Suspicious,100,City-34,Retail,high,44,40-50,Purchase at Merchant-2084,Low Risk
9720,1064,2086,9924.37,1/1/2023 2:41,1,0,MasterCard,Suspicious,97,City-45,Travel,Low,23,21-30,Purchase at Merchant-2086,Low Risk
8445,1036,2011,9924.08,1/1/2023 2:20,1,0,MasterCard,Suspicious,100,City-18,Retail,Low,50,40-50,Purchase at Merchant-2011,Low Risk
3019,1092,2062,9921.86,1/1/2023 0:50,1,0,MasterCard,Suspicious,84,City-48,Travel,Low,69,50+,Purchase at Merchant-2062,Low Risk
2211,1069,2050,9919.02,1/1/2023 0:36,1,1,Discover,Suspicious,109,City-34,Restaurant,high,58,50+,Purchase at Merchant-2050,High Risk
4066,1018,2040,9918.88,1/1/2023 1:07,1,0,Discover,Suspicious,116,City-44,Travel,Low,48,40-50,Purchase at Merchant-2040,Low Risk
6434,1090,2068,9918.64,1/1/2023 1:47,1,1,American Express,Suspicious,111,City-24,Groceries,high,64,50+,Purchase at Merchant-2068,High Risk
2663,1047,2097,9914.38,1/1/2023 0:44,1,0,American Express,Suspicious,102,City-10,Restaurant,Low,30,21-30,Purchase at Merchant-2097,Low Risk
2067,1099,2078,9914.31,1/1/2023 0:34,1,1,American Express,Suspicious,116,City-35,Retail,high,54,50+,Purchase at Merchant-2078,High Risk
2789,1039,2074,9912.09,1/1/2023 0:46,1,1,MasterCard,Suspicious,115,City-9,Online Shopping,high,29,21-30,Purchase at Merchant-2074,High Risk
8959,1019,2041,9912.07,1/1/2023 2:29,1,0,Discover,Suspicious,97,City-19,Groceries,Low,65,50+,Purchase at Merchant-2041,Low Risk
4693,1033,2066,9911.37,1/1/2023 1:18,1,0,MasterCard,Suspicious,81,City-34,Restaurant,Low,58,50+,Purchase at Merchant-2066,Low Risk
1078,1010,2016,9910.35,1/1/2023 0:17,1,0,Discover,Suspicious,101,City-40,Travel,Low,25,21-30,Purchase at Merchant-2016,Low Risk
4932,1039,2086,9908.22,1/1/2023 1:22,1,1,Visa,Suspicious,115,City-30,Restaurant,high,47,40-50,Purchase at Merchant-2086,High Risk
4553,1021,2025,9906.78,1/1/2023 1:15,1,0,American Express,Suspicious,96,City-49,Groceries,Low,61,50+,Purchase at Merchant-2025,Low Risk
1919,1026,2061,9906.77,1/1/2023 0:31,1,0,Visa,Suspicious,92,City-8,Groceries,Low,53,50+,Purchase at Merchant-2061,Low Risk
6984,1033,2020,9906.34,1/1/2023 1:56,1,1,MasterCard,Suspicious,81,City-8,Retail,high,25,21-30,Purchase at Merchant-2020,Low Risk
5093,1041,2045,9906.17,1/1/2023 1:24,1,0,MasterCard,Suspicious,107,City-50,Online Shopping,Low,44,40-50,Purchase at Merchant-2045,Low Risk
1076,1023,2066,9904.36,1/1/2023 0:17,1,1,American Express,Suspicious,106,City-3,Travel,high,62,50+,Purchase at Merchant-2066,High Risk
4684,1043,2095,9903.74,1/1/2023 1:18,1,0,Visa,Suspicious,96,City-37,Retail,Low,49,40-50,Purchase at Merchant-2095,Low Risk
6791,1095,2040,9902.15,1/1/2023 1:53,1,0,Discover,Suspicious,103,City-44,Gas Station,Low,52,50+,Purchase at Merchant-2040,Low Risk
4217,1023,2002,9901.23,1/1/2023 1:10,1,1,Discover,Suspicious,106,City-29,Online Shopping,high,67,50+,Purchase at Merchant-2002,High Risk
9029,1005,2029,9900.43,1/1/2023 2:30,1,1,Visa,Suspicious,92,City-44,Online Shopping,high,47,40-50,Purchase at Merchant-2029,Low Risk
2258,1075,2030,9900.33,1/1/2023 0:37,1,1,American Express,Suspicious,91,City-12,Restaurant,high,31,31-40,Purchase at Merchant-2030,Low Risk
9739,1019,2098,9898.96,1/1/2023 2:42,1,0,Discover,Suspicious,97,City-19,Online Shopping,Low,62,50+,Purchase at Merchant-2098,Low Risk
656,1074,2084,9898.77,1/1/2023 0:10,1,1,American Express,Suspicious,126,City-13,Online Shopping,high,69,50+,Purchase at Merchant-2084,High Risk
1704,1011,2001,9897.85,1/1/2023 0:28,1,1,Discover,Suspicious,100,City-26,Groceries,high,32,31-40,Purchase at Merchant-2001,Low Risk
9839,1037,2042,9895.85,1/1/2023 2:43,1,0,Discover,Suspicious,103,City-41,Travel,Low,61,50+,Purchase at Merchant-2042,Low Risk
2649,1058,2086,9893.92,1/1/2023 0:44,1,0,MasterCard,Suspicious,105,City-13,Online Shopping,Low,28,21-30,Purchase at Merchant-2086,Low Risk
7445,1086,2069,9893.21,1/1/2023 2:04,1,1,Discover,Suspicious,92,City-15,Online Shopping,high,40,31-40,Purchase at Merchant-2069,Low Risk
7117,1009,2022,9891.73,1/1/2023 1:58,1,1,MasterCard,Suspicious,99,City-12,Groceries,high,45,40-50,Purchase at Merchant-2022,Low Risk
3791,1018,2055,9889.1,1/1/2023 1:03,1,1,MasterCard,Suspicious,116,City-15,Online Shopping,high,47,40-50,Purchase at Merchant-2055,High Risk
5573,1026,2061,9888.33,1/1/2023 1:32,1,0,Discover,Suspicious,92,City-9,Restaurant,Low,56,50+,Purchase at Merchant-2061,Low Risk
9460,1041,2099,9885.79,1/1/2023 2:37,1,0,Discover,Suspicious,107,City-22,Retail,Low,43,40-50,Purchase at Merchant-2099,Low Risk
5779,1020,2015,9884.74,1/1/2023 1:36,1,1,Discover,Suspicious,107,City-34,Groceries,high,31,31-40,Purchase at Merchant-2015,High Risk
3990,1017,2071,9882.63,1/1/2023 1:06,1,1,Visa,Suspicious,100,City-25,Retail,high,57,50+,Purchase at Merchant-2071,Low Risk
3822,1041,2002,9881.84,1/1/2023 1:03,1,0,Visa,Suspicious,107,City-27,Groceries,Low,29,21-30,Purchase at Merchant-2002,Low Risk
475,1015,2071,9879.63,1/1/2023 0:07,1,0,Discover,Suspicious,103,City-34,Retail,Low,26,21-30,Purchase at Merchant-2071,Low Risk
9042,1002,2079,9878.69,1/1/2023 2:30,1,0,Visa,Suspicious,90,City-13,Online Shopping,Low,55,50+,Purchase at Merchant-2079,Low Risk
6980,1096,2048,9877.07,1/1/2023 1:56,1,0,American Express,Suspicious,98,City-47,Restaurant,Low,62,50+,Purchase at Merchant-2048,Low Risk
3465,1030,2062,9875.36,1/1/2023 0:57,1,0,Discover,Suspicious,87,City-31,Gas Station,Low,47,40-50,Purchase at Merchant-2062,Low Risk
7895,1024,2065,9874.24,1/1/2023 2:11,1,0,Visa,Suspicious,89,City-12,Online Shopping,Low,66,50+,Purchase at Merchant-2065,Low Risk
4501,1020,2075,9874.16,1/1/2023 1:15,1,0,Visa,Suspicious,107,City-28,Groceries,Low,34,31-40,Purchase at Merchant-2075,Low Risk
3479,1032,2036,9871.49,1/1/2023 0:57,1,0,American Express,Suspicious,98,City-14,Travel,Low,60,50+,Purchase at Merchant-2036,Low Risk
6068,1003,2043,9869.5,1/1/2023 1:41,1,0,MasterCard,Suspicious,81,City-26,Retail,Low,46,40-50,Purchase at Merchant-2043,Low Risk
3942,1087,2053,9867.95,1/1/2023 1:05,1,1,Discover,Suspicious,111,City-47,Online Shopping,high,29,21-30,Purchase at Merchant-2053,High Risk
332,1008,2086,9867.94,1/1/2023 0:05,1,1,Discover,Suspicious,91,City-29,Groceries,high,27,21-30,Purchase at Merchant-2086,Low Risk
696,1071,2075,9866.92,1/1/2023 0:11,1,0,Discover,Suspicious,113,City-33,Restaurant,Low,47,40-50,Purchase at Merchant-2075,Low Risk
4346,1001,2055,9865.64,1/1/2023 1:12,1,0,MasterCard,Suspicious,86,City-42,Retail,Low,45,40-50,Purchase at Merchant-2055,Low Risk
3840,1091,2032,9865.09,1/1/2023 1:03,1,0,Discover,Suspicious,103,City-44,Groceries,Low,18,0-20,Purchase at Merchant-2032,Low Risk
7579,1039,2022,9861.91,1/1/2023 2:06,1,0,American Express,Suspicious,115,City-25,Gas Station,Low,19,0-20,Purchase at Merchant-2022,Low Risk
6162,1033,2069,9858.54,1/1/2023 1:42,1,1,American Express,Suspicious,81,City-8,Retail,high,29,21-30,Purchase at Merchant-2069,Low Risk
2775,1099,2086,9854.01,1/1/2023 0:46,1,1,Visa,Suspicious,116,City-7,Travel,high,42,40-50,Purchase at Merchant-2086,High Risk
4359,1008,2058,9853.83,1/1/2023 1:12,1,1,Visa,Suspicious,91,City-28,Online Shopping,high,40,31-40,Purchase at Merchant-2058,Low Risk
3829,1018,2026,9852.99,1/1/2023 1:03,1,0,American Express,Suspicious,116,City-49,Retail,Low,18,0-20,Purchase at Merchant-2026,Low Risk
5033,1017,2051,9851.05,1/1/2023 1:23,1,1,Visa,Suspicious,100,City-1,Gas Station,high,69,50+,Purchase at Merchant-2051,Low Risk
3462,1035,2095,9850.27,1/1/2023 0:57,1,1,Discover,Suspicious,92,City-8,Online Shopping,high,54,50+,Purchase at Merchant-2095,Low Risk
2821,1033,2017,9848.05,1/1/2023 0:47,1,0,Visa,Suspicious,81,City-41,Gas Station,Low,51,50+,Purchase at Merchant-2017,Low Risk
4998,1058,2052,9847.81,1/1/2023 1:23,1,1,Discover,Suspicious,105,City-35,Online Shopping,high,66,50+,Purchase at Merchant-2052,High Risk
3733,1030,2085,9847.41,1/1/2023 1:02,1,1,MasterCard,Suspicious,87,City-36,Restaurant,high,33,31-40,Purchase at Merchant-2085,Low Risk
8394,1070,2057,9847.27,1/1/2023 2:19,1,0,MasterCard,Suspicious,105,City-17,Retail,Low,30,21-30,Purchase at Merchant-2057,Low Risk
1793,1100,2061,9844.23,1/1/2023 0:29,1,1,MasterCard,Suspicious,103,City-33,Travel,high,38,31-40,Purchase at Merchant-2061,High Risk
4539,1004,2004,9843.77,1/1/2023 1:15,1,0,Discover,Suspicious,87,City-48,Online Shopping,Low,26,21-30,Purchase at Merchant-2004,Low Risk
326,1022,2033,9842.45,1/1/2023 0:05,1,0,Discover,Suspicious,93,City-36,Travel,Low,39,31-40,Purchase at Merchant-2033,Low Risk
4812,1073,2078,9840.99,1/1/2023 1:20,1,0,Visa,Suspicious,99,City-26,Travel,Low,68,50+,Purchase at Merchant-2078,Low Risk
7318,1041,2083,9839.63,1/1/2023 2:01,1,1,American Express,Suspicious,107,City-25,Travel,high,43,40-50,Purchase at Merchant-2083,High Risk
3658,1087,2072,9835.1,1/1/2023 1:00,1,1,Visa,Suspicious,111,City-49,Restaurant,high,60,50+,Purchase at Merchant-2072,High Risk
3708,1093,2081,9834.18,1/1/2023 1:01,1,1,Discover,Suspicious,99,City-5,Retail,high,62,50+,Purchase at Merchant-2081,Low Risk
4424,1088,2005,9833.2,1/1/2023 1:13,1,1,American Express,Suspicious,112,City-37,Travel,high,52,50+,Purchase at Merchant-2005,High Risk
3741,1051,2049,9833.06,1/1/2023 1:02,1,1,Discover,Suspicious,96,City-47,Groceries,high,22,21-30,Purchase at Merchant-2049,Low Risk
6512,1082,2022,9832.67,1/1/2023 1:48,1,1,American Express,Suspicious,111,City-8,Groceries,high,59,50+,Purchase at Merchant-2022,High Risk
2758,1018,2022,9831.71,1/1/2023 0:45,1,0,Visa,Suspicious,116,City-4,Online Shopping,Low,41,40-50,Purchase at Merchant-2022,Low Risk
9012,1032,2014,9831.36,1/1/2023 2:30,1,0,American Express,Suspicious,98,City-14,Online Shopping,Low,70,50+,Purchase at Merchant-2014,Low Risk
7705,1024,2042,9830.56,1/1/2023 2:08,1,0,MasterCard,Suspicious,89,City-33,Retail,Low,67,50+,Purchase at Merchant-2042,Low Risk
6825,1069,2033,9830.53,1/1/2023 1:53,1,1,American Express,Suspicious,109,City-37,Online Shopping,high,68,50+,Purchase at Merchant-2033,High Risk
959,1048,2067,9828.73,1/1/2023 0:15,1,0,Visa,Suspicious,99,City-18,Travel,Low,64,50+,Purchase at Merchant-2067,Low Risk
3367,1035,2045,9828.73,1/1/2023 0:56,1,0,Visa,Suspicious,92,City-37,Gas Station,Low,55,50+,Purchase at Merchant-2045,Low Risk
9055,1086,2081,9826.08,1/1/2023 2:30,1,0,MasterCard,Suspicious,92,City-48,Restaurant,Low,37,31-40,Purchase at Merchant-2081,Low Risk
4286,1054,2073,9825.85,1/1/2023 1:11,1,0,American Express,Suspicious,100,City-1,Travel,Low,69,50+,Purchase at Merchant-2073,Low Risk
7071,1021,2048,9825.6,1/1/2023 1:57,1,0,Discover,Suspicious,96,City-16,Online Shopping,Low,20,0-20,Purchase at Merchant-2048,Low Risk
4918,1089,2090,9824.89,1/1/2023 1:21,1,1,MasterCard,Suspicious,115,City-49,Gas Station,high,36,31-40,Purchase at Merchant-2090,High Risk
3909,1027,2034,9824.6,1/1/2023 1:05,1,1,Visa,Suspicious,85,City-40,Gas Station,high,39,31-40,Purchase at Merchant-2034,Low Risk
9117,1091,2009,9822.08,1/1/2023 2:31,1,0,Discover,Suspicious,103,City-48,Restaurant,Low,53,50+,Purchase at Merchant-2009,Low Risk
4917,1088,2035,9821.7,1/1/2023 1:21,1,1,Discover,Suspicious,112,City-32,Online Shopping,high,58,50+,Purchase at Merchant-2035,High Risk
8819,1019,2078,9821.3,1/1/2023 2:26,1,1,Discover,Suspicious,97,City-44,Restaurant,high,53,50+,Purchase at Merchant-2078,Low Risk
6150,1075,2065,9820.61,1/1/2023 1:42,1,0,Visa,Suspicious,91,City-42,Travel,Low,63,50+,Purchase at Merchant-2065,Low Risk
3672,1072,2002,9819.97,1/1/2023 1:01,1,0,Discover,Suspicious,103,City-12,Gas Station,Low,37,31-40,Purchase at Merchant-2002,Low Risk
9287,1038,2059,9818.74,1/1/2023 2:34,1,1,American Express,Suspicious,98,City-4,Online Shopping,high,52,50+,Purchase at Merchant-2059,Low Risk
9697,1085,2084,9818.55,1/1/2023 2:41,1,0,American Express,Suspicious,120,City-14,Gas Station,Low,26,21-30,Purchase at Merchant-2084,Low Risk
2523,1093,2091,9817.2,1/1/2023 0:42,1,1,American Express,Suspicious,99,City-13,Travel,high,26,21-30,Purchase at Merchant-2091,Low Risk
